אבו ג'ווייעד (שבט),אבו ג'ווייעד (שבט)  
דיר אל-סנה,ירושלים             
דיר אל-סנה סמ1,ירושלים             
דיר אל-סנה סמ2,ירושלים             
דיר אל-סנה סמ3,ירושלים             
דיר אל-סנה סמ4,ירושלים             
דיר אל-עאמוד,ירושלים             
דיר אל-עאמוד סמ2,ירושלים             
דיר אל-עאמוד סמ4,ירושלים             
דיר אל-עאמוד סמ6,ירושלים             
דיר טנטורה,ירושלים             
דיר כרמיזן,ירושלים             
דיר קירמיזן,ירושלים             
דישראלי,ירושלים             
דלה פרגולה,ירושלים             
דלמן,ירושלים             
דלתון,ירושלים             
דמיטריוס הקדוש,ירושלים             
דן,ירושלים             
דניאל,ירושלים             
דסקל,ירושלים             
דרג א טבוני,ירושלים             
דרום,ירושלים             
דרוק שלמה זלמן,ירושלים             
דרזנר יחיאל,ירושלים             
דרך א זעים,ירושלים             
דרך אבו-ת'ור,ירושלים             
דרך אבו-ת'ור סמ2,ירושלים             
דרך אבו-ת'ור סמ4,ירושלים             
דרך אל-צוואנה,ירושלים             
דרך אל-צוואנה סמ1,ירושלים             
דרך אל-צוואנה סמ2,ירושלים             
דרך אל-צוואנה סמ3,ירושלים             
דרך אל-צוואנה סמ4,ירושלים             
דרך אל-צוואנה סמ5,ירושלים             
דרך אל-צוואנה סמ7,ירושלים             
דרך אל-שיאח,ירושלים             
דרך אל-שיאח סמ1,ירושלים             
דרך אל-שיאח סמ2,ירושלים             
דרך אל-שיאח סמ3,ירושלים             
דרך אל-שיאח סמ6,ירושלים             
דרך אל-שיאח סמ7,ירושלים             
דרך אלישר,ירושלים             
דרך בגין,ירושלים             
דרך ביר נבאלה,ירושלים             
דרך בית חורון,ירושלים             
דרך בית חנינא,ירושלים             
דרך בית לחם,ירושלים             
דרך בנבנישתי דוד,ירושלים             
דרך בנימינה,ירושלים             
דרך בר-לב,ירושלים             
דרך ג'בל מוכבר,ירושלים             
דרך ג'בל מוכבר סמ1,ירושלים             
דרך ג'בל מוכבר סמ11,ירושלים             
דרך ג'בל מוכבר סמ3,ירושלים             
דרך ג'בל מוכבר סמ5,ירושלים             
דרך ג'בל מוכבר סמ6,ירושלים             
דרך ג'בל מוכבר סמ9,ירושלים             
דרך גדוד 68,ירושלים             
דרך האחיות,ירושלים             
דרך האילנות,ירושלים             
דרך החורש,ירושלים             
דרך הטיילת,ירושלים             
דרך הסלע,ירושלים             
דרך העופל,ירושלים             
דרך הפטרול,ירושלים             
דרך הר הזיתים,ירושלים             
דרך השילוח,ירושלים             
דרך השלוה,ירושלים             
דרך התצפית,ירושלים             
דרך ואדי אל ג'וז,ירושלים             
דרך וולפסון דוד,ירושלים             
דרך זלאטע כהן,ירושלים             
דרך חברון,ירושלים             
דרך חיזמא סמ3,ירושלים             
דרך חיזמא סמ4,ירושלים             
דרך חיזמא סמ7,ירושלים             
דרך חיזמא סמ9,ירושלים             
דרך חיזמה,ירושלים             
דרך יריחו,ירושלים             
דרך יריחו סמ12,ירושלים             
דרך יריחו סמ6,ירושלים             
דרך כפר עקב,ירושלים             
דרך כפר עקב סמ1,ירושלים             
דרך כפר עקב סמ2,ירושלים             
דרך כפר עקב סמ3,ירושלים             
דרך כפר עקב סמ4,ירושלים             
דרך כפר עקב סמ5,ירושלים             
דרך כרמית,ירושלים             
דרך מודעי יצחק,ירושלים             
דרך מן קלמן,ירושלים             
דרך מנחת,ירושלים             
דרך מעלה אדמים,ירושלים             
דרך משה ברעם,ירושלים             
דרך נבי סמואל,ירושלים             
דרך ע'אבה פוקא,ירושלים             
דרך עזמות,ירושלים             
דרך ענתות,ירושלים             
דרך צור באהר,ירושלים             
דרך קוליץ,ירושלים             
דרך קרית יובל,ירושלים             
דרך ראמאללה,ירושלים             
דרך ראמאללה סמ100,ירושלים             
דרך ראמאללה סמ120,ירושלים             
